Class Index,Title,Description
3,Trading slump hurts UBS profit,"Bank #39;s 3Q profit dips, but it says  #39;04 will be better than  #39;03; wealth management stays strong. ZURICH (Reuters) - Banking heavyweight UBS remained cautious about prospects for the rest of the year after a "
3,ATA Files for Bankruptcy Protection," CHICAGO (Reuters) - ATA Holdings Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ATAH.O target=/stocks/quickinfo/fullquote""&gt;ATAH.O&lt;/A&gt;, parent of  struggling low-cost carrier ATA Airlines, on Tuesday filed for  Chapter 11 bankruptcy protection as falling fares and soaring  fuel prices drained it of cash."
3,It #39;s official: IBM sells PC unit to Chinese company,"IBM (IBM) said Tuesday that it would sell its PC business to Lenovo, China #39;s No. 1 PC maker, in a \$1.75 billion deal that marks the end of an era."
2,Unselfish Nets dominate Hawks,EAST RUTHERFORD -- It #39;s no secret that Jason Kidd will see his return as a chance to present himself to interested suitors. But the Nets presented another point of view in their 109-88 rout over the Atlanta Hawks last night.
3,Textiles boost Bangladesh exports,"Bangladesh's exports have risen by more than a quarter, boosted by clothing sales, a government report says."
3,Fremont settles,SAN FRANCISCO (CBS.MW) -- Fremont Investment Advisors agreed Thursday to pay \$4.1 million to settle federal and state regulatory allegations that it permitted market timing and late trading in its funds.
2,Kiwis hold Aussies 16-16 in Tri Nations opener,Winger Luke Rooney scored two tries on debut as Australia drew 16-16 with New Zealand in Saturday #39;s series-opening Tri Nations rugby league test.
1,Rescuers scramble to help survivors of Philippines floods; more than 650 killed (Canadian Press),"Canadian Press - REAL, Philippines (AP) - Helicopters delivered food to famished survivors and picked up casualties as flash floods began to recede, revealing the magnitude of a disaster triggered by back-to-back storms that left more than 650 people dead and nearly 400 missing in the northern Philippines."
1,Commander disagreed with invasion,"FALLUJAH, Iraq -- The outgoing commander of US Marines in Iraq said yesterday that he disagreed with the order that sent his troops to invade the restive city of Fallujah in early April and with the decision to halt the attack days later, when he believed they were within days of victory."
1,"Seven Held in Dutch Anti-Terror Raids, Police Hurt"," THE HAGUE (Reuters) - Dutch police stormed a flat after a  14-hour stand-off in which four officers were wounded,  arresting two people, and detained five more elsewhere -- all  suspected of links with a network of radical Muslims."
1,Bin Laden driver arraigned in first Guantanamo hearing,"Osama bin Laden #39;s chauffeur was arraigned Tuesday at the first US military tribunal since World War II, appearing at a pretrial session as defense lawyers sought to challenge the process."
4,Microsoft Takes Giant Step against Spyware,"Microsoft has beefed up its security portfolio by purchasing anti-spyware specialist Giant Company Software. A test version of a spyware protection, detection and removal tool based on Giant #39;s "
3,Coventry will buy First Health for \$1.8 billion,"First Health Group, which manages health-care benefits for employers and unions and which has struggled lately, will be acquired by Coventry Health Care in a \$1."
3,"Dollar Edges Up Vs Euro, Lows in Sight (Reuters)","Reuters - The dollar inched up but stayed in sight\of record lows against the euro on Thursday, as investors took\a break from pummeling the dollar after showing little interest\in a mixed bag of U.S. economic data."
3,Apple launches new iPod versions - Photo and U2 Special,"NEW YORK, October 27 (newratings.com) - Apple Computer (AAPL.NAS) has introduced a new version of its popular iPod digital music player, iPod Photo, with a capacity of 25,000 digital pictures and 15,000 songs."
4,"Hundreds of file-sharing lawsuits filed against Kazaa, Gnutella &lt;b&gt;...&lt;/b&gt;",The very lawsuits that swept through US cyberspace have reportedly made their way across the Atlantic. The International Federation of the Phonographic Industry said Thursday that it filed 459 criminal and 
1,"'Sopranos,' 'Angels' Win Big at Emmys","LOS ANGELES - ""The Sopranos"" finally whacked its competitors in the best drama category at the Emmy Awards, and a comedy series victory for ratings-starved ""Arrested Development"" proved SOMEBODY was watching - but it was HBO and its record-breaking ""Angels in America"" that fluttered away with the most trophies.    HBO's megahit about a New Jersey mob family collected the best drama Emmy on its fifth try Sunday, and the channel's ""Sex and the City"" and ""Angels in America"" helped cable overshadow the traditional networks..."
4,Yahoo! Nipping at Google #39;s Heels on Email,"As part of its ongoing battle with Google (GOOG:Nasdaq - news - research) for the loyalty of Internet users, Yahoo! said it had implemented new antispam technology for its Web-based email service."
3,Taking The Plunge,"On the way to his vision of an ""ownership society,"" President Bush picks a big fight over Social Security"
3,EDS takes 3Q loss,"Electronic Data Systems Corp., which has delayed its quarterly earnings three times, reported larger third-quarter losses after taking a \$375 million charge on its beleaguered Navy contract."
3,World Trade Center Insurance Payoff Increased by Jury,"A New York Jury ruled that the two planes that hit the World Trade Center on September 11, 2001 were two separate events instead of one which increased the insurers liability by at least \$140 million."
4,Cisco Ties Microsoft CRM to Your Phone System,"In an effort to integrate its IP-based communications products with Microsoft customer relationship management software, Cisco Systems today announced the Cisco CRM Communications Connector."
2,Montgomerie likely to miss Heritage cut,"Five days after making the putt that won the Ryder Cup, Colin Montgomerie looked set to miss the cut at a European PGA tour event."
3,"Oil Slides, Najaf Peace Deal Struck",Oil prices fell for the fifth day in a row on Thursday after word of a peace deal in the embattled Iraqi city of Najaf raised hopes of more reliable oil shipments from the energy-rich country and encouraged a run of profit-taking by 
1,Canadian Navy say stricken sub was seaworthy,The Canadian Navy says it is absolutely convinced the submarine Chicoutimi was seaworthy when they took possession of it. It comes as they prepare to give further details of the devastating fire which crippled the vessel.
2,"Skater:  #39;I have a headache, but I #39;m OK #39;","A photographer was taking snaps of skater Tatiana Totmianina Monday when her coach remarked,  quot;Smile for the camera. #39; #39;."
2,Ganguly hopes to win the second test against Aussies,"Captain Sourav Ganguly today said he hoped to win the second test match against Australia beginning in Chennai on Thursday. Despite master blaster Sachin Tendulkar #39;s absence, and a thrashing win by the visitors, Ganguly did not seem to lose hope."
1,Dozens killed in Pakistan blasts,Pakistani troops patrol the city of Multan after bomb blasts at a Sunni gathering left 39 people dead.
2,MLB owners approve Expos #39; relocation to Washington,"The owners of Major League Baseball #39;s 30 teams voted almost unanimously today to approve the relocation of the Montreal Expos to Washington, the league reported Dec. 3 on its website."
4,SpaceShipOne repeats its feat,The craft wins the \$10 million Ansari X Prize for private space travel when it reaches 100km for the second time.
2,BUTTON DESTINED FOR WILLIAMS RETURN,"Williams are likely to call on Jenson Button in 2006 despite losing their battle to sign the Englishman for next season. Button had signed a contract with Williams, claiming his previously-agreed deal with BAR was no longer valid due to a loophole."
2,Serena Ends Mauresmo #39;s Year-End No. 1 Bid,"Serena Williams Ends Mauresmo #39;s Bid for Year-End No. 1 Ranking, Will Face Sharapova in WTA Final. Serena Williams waves to the crowd after beating Amelie Mauresmo of France 4-6, 7-6 (2), 6-4 in their semifinal "
2,Waltrip washed out of truck race by rain,"Rain washed out qualifying for the NASCAR Craftsman Truck Series race on Friday, causing the field to be set by owner points and leaving Darrell Waltrip out of the field."
2,Jimenez regains lead in European Masters,"Spain #39;s Miguel Angel Jimenez was back on top in the European Masters in Switzerlnd Saturday after shooting a 5-under-par 66. Jimenez, at 15-under 198 for three rounds "
2,New Mexico State Fires Coach Tony Samuel (AP),AP - New Mexico State coach Tony Samuel was fired Wednesday after leading the Aggies to just two winning seasons in eight years.
3,Eli Lilly to Cut 575 U.S. Jobs," NEW YORK (Reuters) - Eli Lilly and Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=LLY.N target=/stocks/quickinfo/fullquote""&gt;LLY.N&lt;/A&gt; said  Thursday it plans to cut 575 jobs, or a little more than 2  percent of its U.S. workforce, in a move to streamline its  operations."
1,Showdown Vote Likely on Iran Resolution (AP),AP - China and Pakistan are among nations demanding the United States and its allies on the board of the U.N. atomic watchdog agency tone down a proposed resolution designed to ease Western fears about Iran's nuclear agenda.
3,PUTIN ON RUSSIAN-BELARUSSIAN COMPROMISE IN GAS PRICES,"Russia and Belarus achieved compromise and settled the gas pricing problem, Russian President Vladimir Putin said at a joint press conference with his Belarussian counterpart Alexander Lukashenko."
4,New Firefox supplies patches in nick of time,"In the very week Mozilla Firefox Version 1.0 was launched, a series of potentially nasty security holes have been uncovered in older versions of the browser."
1,"No return to past in Russia, Putin promises"," quot;There will be no turnabout in the country #39;s life, quot; said Mr Putin, who has come under intense international criticism for strengthening his political control after a wave of terrorist attacks."
1,"Bosnia's NATO, EU ambitions at risk over warcrimes suspects, Ashdown warns (AFP)","AFP - The failure of Bosnian Serbs to hand over warcrimes suspects could ruin Bosnia's hopes of joining NATO and the European Union, top international envoy Paddy Ashdown said here."
1,North Korea Sells Food Aid on Local Market-South (Reuters),"Reuters - North Korea has been selling on its\domestic market international food aid aimed at helping to ease\food shortages in the impoverished country, South Korea's\Unification Ministry said on Friday."
1,Body Resembling Japanese Hostage Found in Iraq,"A body resembling a Japanese hostage has been found in Iraq and will be flown to Kuwait or Qatar for identification, officials said on Saturday, after Tokyo refused a demand by his captors to pull out its troops."
1,Writethru: Blair to go hospital for heart procedure,British Prime Minister Tony Blair said Thursday night he will go into hospital Friday and stay overnight for a procedure to correct irregular heartbeats.
1,"Rebels, residents starving","EXHAUSTED, hungry and unable to treat their wounded, rebels and residents in Fallujah were holed up today in the south of the battle-torn city where US-led forces hunted final pockets of resistance."
2,Broncos Rout Reeling Raiders 31-3 (AP),AP - Jake Plummer and Reuben Droughns did little wrong while turning the Denver Broncos' biggest rivalry into a rout.
4,IBM to acquire content mgmt firm Venetica,"IBM aims to gain more gain insight and information in this arena, as many companies have implemented numerous content management systems."
1,300m to halt sex disease crisis,The UK's growing sexual health crisis is to be tackled with a 300m investment for clinics and advertising.
1,Around the world,"Israeli forces continued a major operation in the Gaza Strip on Thursday, using tanks and armored vehicles to suppress rocket fire into Israel, and in the process killing seven Palestinians."
3,Patent fight may slow radio tags,"As a standards-setting body readies a protocol for radio frequency identification, known as RFID, a bid for royalties from a holder of critical patents has threatened to disrupt the smooth rollout of a technology that could spawn one of the decade's biggest industries."
4,Energy Secretary Gets Mixed Reviews at Los Alamos,"Los Alamos employees like the University of California #39;s benefits, its academic reputation and the chance to send their children to UC at in-state prices."
2,The Playoffs/News  amp; Notes: Major League Baseball recalls bad taste &lt;b&gt;...&lt;/b&gt;,"A day before Boston and New York started the American League Championship Series, Major League Baseball recalled a T-shirt it had sanctioned because it rubbed Red Sox fans the wrong way."
4,EMC Would Like This Dantz,"NEW YORK - EMC will announce today that it has closed on the acquisition of Dantz Development, a privately held company that it hopes will give it a toehold in the \$600 million spent by small to mid-size companies on data backup and recovery software."
3,Buy-up just beautiful,"SHARES in drug wholesaler Australian Pharmaceutical Industries Ltd rose nearly15 per cent yesterday after it acquired health, beauty and lifestyle retailer New Price Retail for \$112."
1,"Militants Threaten to Behead U.S., UK Hostages in Iraq", BAGHDAD (Reuters) - Insurgents threatened to behead two  Americans and a Briton captured in Baghdad on Saturday and  launched a suicide car bomb attack on Iraqi security forces in  the northern city of Kirkuk that killed at least 23 people.
4,Kinks Seen in Theft of Saturn's Ring Material (SPACE.com),SPACE.com - New images from the Cassini spacecraft reveal undulating kinks in one of the rings and theft of ring dust by a moon. The kinks are seen in greater detail than ever before and the thievery has been photographed for the first time.
3,Oracle in Merger Talks with Other Firms (Reuters),Reuters - Oracle Corp.  is in\merger talks with other technology companies as it awaits the\outcome of its  #36;9.2 billion hostile takeover bid for rival\software maker PeopleSoft Inc. .
1,"Bush, Kerry Open Final Debate in Arizona","TEMPE, Ariz. - President Bush and challenger John Kerry opened their third and final debate on Wednesday as each candidate hoped to stamp a last favorable impression on millions of voters before Elecion day..."
3,EU warns of sanctions on US,The European Union threatens to impose sanctions on some US imports unless Washington repeals its anti-dumping law.
1,France to allow a longer workweek,France #39;s prime minister has announced plans to let workers negotiate workweeks that exceed the current 35-hour limit. Jean-Pierre Raffarin also vowed to cut the current 9.9 percent unemployment rate by a 0.1 
2,Kildow fastest down mountain,"Lindsey Kildow of the United States won her first World Cup race yesterday, capturing the season's first downhill in 1 minute 23.44 seconds. The 20-year-old Kildow battled wind and swirling snow on a shortened men's Olympic downhill course."
1,Chirac postpones his visit to Russia over hostage crisis,A threat by a militant Islamic group in Iraq to kill two French men unless a law banning Muslim headscarves in schools is abandoned was being treated as a national crisis by the French government last night.
1,France to clear its land mines from Djibouti,"NAIROBI, Nov 30 (AFP) - The French army will clear landmines that were buried deep underground by landslides around its military base in Djibouti, starting in 2006, officials said in Nairobi on Tuesday."
2,Veteran Umpire Montague to Call Game 1 (AP),AP - Veteran umpire Ed Montague will call balls and strikes in Game 1 of the World Series between the St. Louis Cardinals and Boston Red Sox on Saturday.
2,Man City v Chelsea,Chelsea full-back Wayne Bridge could return to the team after being out with a calf injury since 19 September. Celestine Babayaro (hamstring) could also feature in the squad along with Mateja Kezman (groin).
3,BT Boss Set to Move On,Telecoms giant BT today said it was parting company with one of the architects of its transformation from a fixed-line operator. Pierre Danon will join French IT services company 
1,Blasts Strike Sinai Resort in Egypt,A string of bombs hit a resort and a campground popular with Israelis in Egypt #39;s Sinai Peninsula at the end of a Jewish holiday killing at least 19 people.
3,OneChicago CEO and Chairman Rainer announces resignation,"William Rainer, recruited in 2001 to lead the Chicago financial markets #39; venture into the trading of single-stock futures, said Thursday he #39;s resigning to spend more time on family-owned enterprises."
3,General Growth Properties to Buy Rouse (Reuters),"Reuters - General Growth Properties Inc.\(GGP.N), the No. 2 U.S. shopping mall owner, on Friday said it\would buy Rouse Co. (RSE.N) for  #36;7.2 billion, expanding its\holdings of regional shopping centers and commercial property."
3,"Higher Costs, Less Care","In the past four years, Americans have spent a growing portion of their paychecks on health care and for the most part gotten less for their money, according to government figures and several independent studies."
2,Michigan defense dominant,"The Wolverines led the nation in interceptions and turnovers forced entering yesterday #39;s Big Ten opener against Iowa, and they didn #39;t do anything to hurt their ranking."
1,India death toll rises to 63,Police in India are blaming separatist rebels for a series of bombings in the country #39;s volatile northeast that killed more than 60 people.
3,Oil Prices Touch a New Three-Month Low, SINGAPORE (Reuters) - U.S. oil prices touched a new  three-month low on Wednesday as mild winter weather in the  United States and expectations of a rise in heating fuel stocks  kept the downward pressure on the market.
3,Nortel Says Exchanges Don #39;t Take Delisting Action (Update1),Nortel Networks Corp. said the Toronto Stock Exchange and the New York Stock Exchange won #39;t commence suspension or delisting actions because of the company #39;s delay in filing certain financial reports.
1,China Detains Eight Roman Catholic Priests -Group," BEIJING (Reuters) - China has detained eight Roman Catholic  priests in northern Hebei province, continuing a crackdown on  those loyal to the Pope, a U.S.-based religious right group  said on Wednesday."
3,Oil Steady as Ivan Balances OPEC Hike, LONDON (Reuters) - Oil prices were steady on Wednesday as  Hurricane Ivan's effect on crude output and refineries in the  Gulf of Mexico balanced OPEC's attempts to reassure traders  with a four percent output ceiling hike.
4,PluggedIn: Smart New World of Digitoys," AMSTERDAM (Reuters) - Jes Overmaat, a mother of five,  thought she had bought a sweet old-fashioned Teddy bear for a  present, when it suddenly started talking."
4,"MS, Apple pitch music at mobile phone makers","Opinion Microsoft has begun to try and win over the hearts, minds and hardware of mobile phone vendors in a bid to dominate the emerging market for music downloads on handsets."
2,"Roddick, Williams eliminated from Olympic tennis",CBC SPORTS ONLINE - American tennis sensation Andy Roddick #39;s Olympic dreams are over after a straight set loss to No. 16 Fernando Gonzalez of Chile in third-round action Wednesday. 
3,Illinois Helps Residents Import Drugs," CHICAGO (Reuters) - Illinois residents will soon gain  access to lower-cost prescription drugs from Canada, the United  Kingdom and Ireland, sidestepping U.S. regulators' objections  to imported drugs, Gov. Rod Blagojevich said on Tuesday."
2,Bernie to pull GP plug,F1 supremo Bernie Ecclestone has reportedly lost patience with Silverstone #39;s owners and has moved to have the 2005 British GP scrapped from the calendar.
4,PayPal Says System Glitches Substantially Fixed,"PayPal, the online payment system owned by eBay Inc. (EBAY.O: Quote, Profile, Research) , on Wednesday said it has fixed most of the problems that for five days left some users unable "
3,Enron Case Prosecutors Calling for a Single Trial,Former Enron Corp. chief executives Jeffrey K. Skilling and Kenneth L. Lay should stand trial together because they engaged in a  quot;single overarching conspiracy quot; to enrich themselves by inflating 
4,Beware! Deadly asteroid set to hit earth,"MUMBAI: The earth will have a close shave with one of the largest known potentially hazardous asteroids called  #39;Toutatis #39; on Wednesday, Nehru Planetarium senior scientist Bharat Adur said."
2,NASCAR #39;s caution flag,It #39;s impossible to know how many of the stock-car-racing fans who heard Dale Earnhardt Jr. use a naughty word on television after winning a 500 at Talladega were offended -- or even noticed.
1,Abu Ghraib Soldier Admits to Some Charges,"HAGERSTOWN, Md. - The highest-ranking Army reservist charged with abusing Iraqi detainees at Abu Ghraib prison said Monday he will plead guilty to some offenses because ""what I did was a violation of law.""   Staff Sgt..."
2,Sox don't underestimate challenge,"An emotional letdown? For the first World Series in Boston in 18 years? Ask the Red Sox if they might take the Cardinals lightly tonight in Game 1 of the 100th World Series, and they look at you like they did when they first laid eyes on Pedro Martinez's 29-inch-tall actor pal, Nelson de la Rosa."
2,Prefontaine boots Argos past Lions,TORONTO (CP) - Noel Prefontaine kicked six field goals to lead the Toronto Argonauts to a 22-16 home win over the BC Lions on Monday afternoon.
3,Seven shares crash 10pc,NEVER surprise the market with a profit downgrading or the shares of your company will be severely caned. A slumping advertising share saw a surly Kerry Stokes yesterday issue a major earnings downgrade for the Seven Network.
3,Kmart wraps sale of 50 stores to Sears (AFP),"AFP - Kmart Holding Corporation, parent company of the discount retail chain, said it had finalized the sale of 50 stores to Sears, Roebuck and Co for 575.9 million dollars in cash."
3,Winn-Dixie forces out president,"In a surprise shake-up, struggling supermarket chain Winn-Dixie Stores Inc. of Jacksonville forced out president and chief executive Frank Lazaran and named Peter L. Lynch, a former Albertsons Inc."
3,Kmarts to be converted into some kind of Sears,"Sears Roebuck and Co. probably will put a new spin on the Sears name for the 56 stores it is taking over from Kmart and Wal-Mart.  quot;Sears will be in the name, but we #39;re reviewing whether the name will be something "
1,Israel Missile Strike Kills Hamas Leader (AP),"AP - An Israeli aircraft fired two missiles at a vehicle traveling in the Gaza Strip late Thursday, killing two people including a senior Hamas member at the top of Israel's most-wanted list, a spokesman for the militant group said."
1,Comment: Liam Clarke: Paisley and the IRA must both accept  &lt;b&gt;...&lt;/b&gt;,"The first time I saw Ian Paisley, I was carrying a camera. He kept shaking his fist and grimacing at me every time I lifted it from my waist."
2,"At end, Nuggets golden","Are these guys ever going to have a game that doesn #39;t come down to the last possession? It seems that, if nothing else, the Celtics give you 48 minutes worth."
2,Growing up with Little E #39;,"TALLADEGA -- Dale Earnhardt Jr. begins his last week at age 29 today, and  quot;Little E quot; is laying plans for the future. The most immediate include a strategy for today #39;s EA Sports 500 at Talladega Superspeedway "
2,Heyl's spirits still afloat,"ATHENS -- Brett Heyl, the Norwich, Vt., native who had hopes of making the finals of the men's slalom kayak event, finished 12th in the morning heat yesterday, dropping him from the finals."
3,Stocks Seen Lower with Chips Getting Hit," NEW YORK (Reuters) - U.S. stock futures pointed to a lower  market open on Thursday, weighed down by rising oil prices and  sales warnings in the chip sector, with Wall Street awaiting  weekly jobless claims data."
2,UPDATE 1-Canas to meet Lopez in second final in two weeks,Guillermo Canas followed up his defeat of top seed David Nalbandian by beating unseeded German Tommy Haas 6-4 6-3 on Saturday to reach the final of the Vienna Trophy.
1,Straw in a flap after mid-air incident,"Baghdad - British Foreign Secretary Jack Straw said on Wednesday that he faced a major security threat on his trip to Iraq when a flock of birds flew into a helicopter accompanying him, forcing it to land."
2,AROUND THE HORN: Bonds tested:  #39;It will clear my name #39;,SAN FRANCISCO -- Barry Bonds hopes his random steroid test last week will remove suspicion that he uses performance-enhancing drugs.
3,Taking the toxic out of building,"We consume more every year, and the building industry is no exception. But more complex buildings are creating bigger problems when it comes to dealing with waste."
1,Blast at Thai fireworks factory kills 14,"BANGKOK - Fourteen people were killed and five injured yesterday in an explosion at a fireworks factory in Thailand #39;s ancient capital Ayuthya, officials and witnesses said."
1,Only Arafat Family Can Get Medical Dossier -France," PARIS (Reuters) - French Foreign Minister Michel Barnier  said on Tuesday France would release Yasser Arafat's medical  dossier only to his family, despite a request for details by  Palestinian leaders."
2,Vince Carter Traded to Nets," EAST RUTHERFORD, N.J. (Sports Network) - The Toronto  Raptors have traded All-Star swingman Vince Carter to the New  Jersey Nets in exchange for center Alonzo Mourning, forward  Eric Williams, center/forward Aaron Williams and two first-  round draft picks."
